Index,Well.API,Field,Operator,Spud.Year,Max_Gas,Lat_Len,Vert_Len,Fluid,Proppant,ShalePlay
4346,3.14E+12,B-43,"Seeco, Llc",2012,258129,4138,2271,75137,3274280,Fayetteville
4347,3.14E+12,B-43,"Seeco, Llc",2012,501932,4373,2623,94359,3144836,Fayetteville
4348,3.14E+12,B-43,"Seeco, Llc",2012,499926,4326,2233,87875,3217067,Fayetteville
4349,3.14E+12,B-43,"Seeco, Llc",2012,454640,5135,2548,122320,3916404,Fayetteville
4350,3.14E+12,B-43,"Seeco, Llc",2012,375178,5328,2618,122533,3907705,Fayetteville
4351,3.14E+12,B-43,"Seeco, Llc",2012,435585,5534,2995,117244,3917418,Fayetteville
4352,3.14E+12,B-43,"Seeco, Llc",2012,477672,3118,3890,60555,2749436,Fayetteville
4353,3.14E+12,B-43,"Seeco, Llc",2012,776997,4343,3443,109588,3522710,Fayetteville
4354,3.14E+12,B-43,"Seeco, Llc",2012,1020685,4958,4112,122985,3922856,Fayetteville
4355,3.14E+12,B-43,"Seeco, Llc",2012,945725,4236,3720,107435,3526222,Fayetteville
4356,3.14E+12,B-43,"Seeco, Llc",2012,320754,2799,3222,50626,2353248,Fayetteville
4357,3.14E+12,B-43,"Seeco, Llc",2012,413731,4557,2998,104883,3522995,Fayetteville
4358,3.14E+12,B-43,"Seeco, Llc",2012,341955,3815,2337,90574,2739375,Fayetteville
4359,3.14E+12,B-43,"Seeco, Llc",2012,641092,4666,2628,108718,3512185,Fayetteville
4360,3.14E+12,B-43,"Seeco, Llc",2012,702956,4666,2815,112139,3504862,Fayetteville
4361,3.14E+12,B-43,"Xto Energy, Inc.",2012,350649,4482,3410,152162,4324260,Fayetteville
4362,3.14E+12,B-43,"Seeco, Llc",2012,547315,3666,2807,67939,2355128,Fayetteville
4363,3.14E+12,B-43,"Seeco, Llc",2012,563199,4645,2805,83107,3144365,Fayetteville
4364,3.14E+12,B-43,"Seeco, Llc",2012,358948,5880,2732,108004,3917489,Fayetteville
4365,3.14E+12,B-43,"Seeco, Llc",2013,149936,2931,2971,52125,1861007,Fayetteville
4366,3.14E+12,B-43,"Seeco, Llc",2012,271000,3693,3281,60301,2742667,Fayetteville
4367,3.14E+12,B-43,"Seeco, Llc",2012,345542,3489,3054,56217,2359311,Fayetteville
4368,3.14E+12,B-43,"Seeco, Llc",2012,233246,3601,3831,75381,2721014,Fayetteville
4369,3.14E+12,B-43,"Seeco, Llc",2012,231736,3651,3214,61551,2830448,Fayetteville
4370,3.14E+12,B-43,"Seeco, Llc",2012,179556,3449,2973,48903,1639328,Fayetteville
4371,3.14E+12,B-43,"Seeco, Llc",2013,456469,4348,2657,103942,3543348,Fayetteville
4372,3.14E+12,B-43,"Seeco, Llc",2013,393928,4507,2396,87747,3700323,Fayetteville
4373,3.14E+12,B-43,"Seeco, Llc",2013,290201,4348,2940,92947,3684499,Fayetteville
4374,3.14E+12,B-43,"Seeco, Llc",2012,300427,4290,4750,113283,3518230,Fayetteville
4375,3.14E+12,B-43,"Seeco, Llc",2012,325432,4722,4525,121513,3900257,Fayetteville
4376,3.14E+12,B-43,"Seeco, Llc",2012,395641,3641,2899,80151,2744533,Fayetteville
